	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU00348	7	1	2	0	0	0	0	0	3	0	1	0	0	0	0	0
OTU00349	172	55	239	112	0	0	0	89	268	106	289	0	0	0	0	0
OTU00350	249	246	345	357	456	230	340	249	415	331	420	234	324	326	237	369
OTU00351	6	3	0	1	5	0	3	1	4	2	4	0	5	2	2	5
OTU00352	35	18	48	9	91	26	16	6	0	0	23	0	32	35	3	9
OTU00353	278	26	68	1	114	7	39	18	87	32	42	3	145	66	1	0
OTU00354	8	8	2	7	6	1	12	5	12	2	1	4	8	6	3	8
OTU00355	108	119	94	97	186	70	106	81	210	98	183	71	156	102	98	144
OTU00356	29	59	27	42	75	28	54	19	72	38	53	20	73	39	23	49
OTU00357	9	4	11	2	0	0	0	4	9	2	18	0	0	0	0	0
OTU00358	4	7	5	7	10	5	8	4	7	3	5	5	8	4	2	4
OTU00359	18	5	5	7	4	13	26	3	4	1	8	0	42	3	3	2
OTU00360	122	128	83	101	177	66	112	95	181	122	149	85	144	114	100	150
OTU00361	13	1	15	4	2	1	2	5	10	4	14	2	2	1	2	0
OTU00362	65	102	87	84	151	48	100	67	136	99	144	63	109	110	81	88
OTU00363	324	289	190	250	324	128	238	168	404	240	338	219	375	342	155	633
OTU00364	147	170	135	184	297	123	204	159	319	180	245	142	286	182	170	299
OTU00365	4	0	3	0	2	1	1	0	0	0	3	0	2	2	0	0
OTU00366	40	4	13	5	59	7	6	1	0	2	46	0	15	52	4	1
OTU00367	147	226	98	56	0	0	1	61	244	19	151	0	0	0	0	0
OTU00368	11	8	2	1	0	0	0	1	1	2	2	0	1	0	0	0
OTU00369	12	14	8	17	29	7	9	21	27	14	20	10	21	16	14	15
OTU00370	12	0	0	3	3	1	12	0	3	1	0	2	19	3	1	1
OTU00371	40	23	10	7	16	13	16	10	11	2	7	4	22	10	8	7
OTU00372	82	74	105	93	104	85	96	72	76	64	97	72	85	88	72	93
OTU00373	22	23	12	22	38	10	24	16	38	27	28	16	35	17	23	51
OTU00374	25	2	13	0	24	1	6	6	2	1	5	0	42	22	1	0
OTU00375	161	35	116	48	450	39	12	3	0	1	141	0	60	158	3	33
OTU00376	211	259	192	230	365	127	223	219	377	186	300	146	289	254	181	311
OTU00377	41	27	30	7	183	19	9	7	1	1	64	0	23	75	1	13
OTU00378	123	172	115	140	173	98	146	115	234	137	219	101	222	183	128	242
OTU00379	68	21	53	17	141	19	22	6	2	4	53	0	42	52	4	6
OTU00380	116	130	142	135	250	98	150	98	176	174	193	95	153	145	112	198
OTU00381	86	23	62	24	272	15	5	3	1	1	76	0	26	105	8	9
OTU00382	45	23	79	39	5	2	3	45	57	47	83	2	5	21	3	8
OTU00383	13	2	15	7	68	1	0	3	0	0	16	0	9	33	1	3
OTU00384	184	155	174	173	212	82	149	147	227	158	253	109	172	171	71	153
OTU00385	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00386	334	430	49	4	23	2	1	49	63	10	311	0	5	4	0	6
OTU00387	16	9	25	9	1	0	2	5	16	4	37	0	1	1	0	0
OTU00388	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00389	31	49	41	49	80	35	53	41	97	43	74	27	58	56	57	70
OTU00390	52	19	54	17	161	25	9	5	1	0	77	0	31	84	7	14
OTU00391	259	320	240	274	512	156	334	237	496	271	491	228	429	339	245	434
OTU00392	7	4	6	11	0	0	0	3	15	3	20	0	0	0	0	0
OTU00393	6	5	1	2	0	1	0	2	7	0	5	0	0	0	0	0
OTU00394	18	17	14	21	2	8	7	8	11	12	16	5	6	11	4	12
OTU00395	186	214	169	207	293	150	202	168	319	189	289	128	306	218	203	306
OTU00396	597	874	548	711	1166	501	821	599	1248	713	1084	480	1050	810	693	1068
OTU00397	84	22	80	25	194	22	8	5	1	2	42	0	25	72	2	13
OTU00398	11	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0
OTU00399	30	13	10	14	32	13	38	16	45	11	23	10	43	20	13	23
OTU00400	2	1	5	2	0	0	0	3	4	1	4	0	0	0	0	0
OTU00401	24	5	25	20	1	0	0	11	18	12	46	0	0	0	0	0
OTU00402	132	104	292	45	959	52	34	7	1	2	241	0	117	300	37	41
OTU00403	6	0	8	6	0	0	0	1	8	4	5	0	0	0	0	0
OTU00404	13	2	9	4	28	4	0	0	1	0	9	0	4	16	0	0
OTU00405	63	65	57	75	93	46	64	42	103	79	92	48	88	76	86	122
OTU00406	12	3	17	0	27	10	2	1	0	0	12	0	12	8	0	5
OTU00407	74	57	119	101	151	61	87	71	164	113	147	84	90	96	66	135
OTU00408	78	2	7	23	14	24	120	31	23	0	35	13	215	29	14	14
OTU00409	35	15	44	12	159	26	11	5	1	1	65	0	30	79	5	12
OTU00410	4	0	2	0	4	0	1	0	0	0	1	0	4	1	0	0
OTU00411	25	10	35	14	121	14	4	1	0	0	30	1	17	46	2	6
OTU00412	57	30	112	55	6	0	6	27	100	52	139	0	3	2	2	2
OTU00413	59	71	60	58	81	76	121	38	86	47	72	35	77	76	54	85
OTU00414	225	253	273	271	436	161	305	205	333	242	404	344	333	317	239	382
OTU00415	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00416	80	29	25	12	1	1	3	10	39	4	37	0	7	2	0	0
OTU00417	342	507	313	40	91	174	218	296	129	38	61	22	339	376	63	109
OTU00418	6	0	13	1	0	0	0	0	12	5	15	0	0	0	0	0
OTU00419	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00420	40	10	17	11	69	5	2	1	0	0	26	1	11	37	0	3
OTU00421	9	15	15	20	40	13	16	12	23	21	24	14	25	23	11	26
OTU00422	124	21	295	154	279	1104	1554	123	110	18	751	100	2017	172	238	92
OTU00423	1	0	0	1	0	0	0	0	1	0	5	0	0	0	0	0
OTU00424	76	31	90	20	331	26	10	6	0	0	88	2	39	107	4	5
OTU00425	16	12	16	20	29	7	3	8	18	3	26	7	21	80	11	44
OTU00426	173	130	189	188	181	138	144	112	194	132	249	101	142	152	121	141
OTU00427	95	38	144	61	0	0	0	67	136	75	211	0	0	0	0	0
OTU00428	4	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
OTU00429	9	3	24	8	0	0	0	16	22	12	35	0	0	0	0	0
OTU00430	25	11	12	0	26	4	2	0	1	0	10	0	19	10	0	2
OTU00431	5	2	2	1	1	0	3	0	1	4	1	2	2	0	0	0
OTU00432	207	200	211	235	374	181	226	193	304	276	353	218	248	250	179	284
OTU00433	76	11	8	5	0	0	0	2	27	3	23	0	2	0	1	0
OTU00434	25	19	23	12	31	27	34	12	21	15	27	11	60	20	14	17
OTU00435	107	161	89	115	212	114	170	99	178	100	169	68	214	149	111	170
OTU00436	168	77	83	9	440	28	35	24	15	4	139	3	67	64	7	16
OTU00437	46	18	6	3	0	1	2	3	35	1	13	2	0	1	0	0
OTU00438	2	0	2	0	0	0	0	2	2	1	0	0	0	0	0	0
OTU00439	55	72	48	69	111	59	74	65	129	70	93	66	126	62	69	117
OTU00440	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU00441	73	100	61	91	117	48	79	89	136	74	107	51	112	97	54	127
OTU00442	15	20	17	20	40	6	22	14	38	17	29	8	19	19	19	32
OTU00443	15	17	19	15	26	16	12	9	22	10	16	8	13	23	21	23
OTU00444	106	27	63	11	135	13	33	12	9	4	76	2	122	66	6	10
OTU00445	103	31	138	79	0	0	0	51	143	64	182	0	0	0	0	0
OTU00446	464	627	451	492	986	345	615	459	880	486	783	367	797	608	493	813
OTU00447	1	0	3	0	3	0	2	0	0	0	1	0	1	2	1	0
OTU00448	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0
OTU00449	45	76	52	56	100	30	75	47	81	51	94	33	80	67	42	88
OTU00450	3	0	3	5	5	1	3	0	10	3	8	2	3	5	1	4
OTU00451	22	8	31	19	0	0	0	6	25	4	36	0	1	1	0	0
OTU00452	361	323	0	369	551	854	443	519	586	264	1027	370	961	548	1	570
OTU00453	62	83	67	67	147	50	91	49	115	70	127	67	86	77	70	109
OTU00454	4	1	4	1	0	0	0	4	2	2	3	0	0	0	0	0
OTU00455	2	0	2	0	2	1	0	0	0	0	4	0	1	7	0	0
OTU00456	3	1	8	2	0	0	0	1	5	2	8	0	0	0	0	0
OTU00457	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
OTU00458	7	8	6	9	13	1	12	8	7	6	18	4	9	3	8	14
OTU00459	144	34	109	43	463	37	7	5	0	4	134	1	35	169	5	17
OTU00460	37	6	31	2	102	3	9	5	1	0	23	1	26	29	3	1
OTU00461	28	3	21	1	23	1	6	5	1	2	26	1	8	11	0	1
OTU00462	1	2	0	1	1	3	3	2	1	0	1	0	6	0	0	2
OTU00463	63	62	79	83	94	92	111	76	89	60	96	72	74	87	76	99
OTU00464	21	8	4	2	12	6	4	3	0	0	13	0	11	8	1	0
OTU00465	1	0	0	0	0	1	1	1	0	0	1	0	0	0	2	1
OTU00466	58	69	45	73	91	34	87	60	97	62	74	44	91	63	62	111
OTU00467	17	2	8	5	39	4	0	1	0	1	8	0	3	28	0	0
OTU00468	6	2	4	0	29	1	1	3	0	0	7	0	0	16	0	1
OTU00469	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
OTU00470	2	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0
OTU00471	6	2	2	8	4	1	5	3	6	3	1	0	6	6	5	5
OTU00472	10	11	4	10	23	6	6	7	17	7	12	11	11	9	9	15
OTU00473	62	50	31	49	69	19	29	23	41	16	83	31	78	55	38	32
OTU00474	166	157	138	151	284	92	147	111	225	117	226	86	226	195	118	189
OTU00475	3	1	4	5	2	2	2	2	1	0	5	1	0	1	4	4
OTU00476	41	30	41	33	26	10	15	16	38	14	57	18	16	15	13	13
OTU00477	14	1	25	5	110	7	1	2	0	1	24	0	9	33	1	3
OTU00478	9	14	9	8	17	8	6	7	16	7	16	3	16	9	8	14
OTU00479	81	20	78	21	238	20	4	4	0	0	51	0	13	85	3	9
OTU00480	87	70	122	95	79	30	75	56	149	104	122	61	51	77	48	96
OTU00481	33	40	29	47	64	22	39	37	71	36	46	31	60	41	32	52
OTU00482	8	5	11	6	0	0	0	2	11	4	16	0	0	0	0	0
OTU00483	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU00484	4	4	2	4	7	0	8	3	7	2	7	3	6	6	4	3
OTU00485	113	31	103	36	344	53	3	11	0	3	153	0	55	160	13	23
OTU00486	29	16	52	37	0	0	0	14	49	28	49	0	0	0	0	0
OTU00487	97	33	9	20	18	3	10	7	28	6	33	8	14	16	8	13
OTU00488	168	237	182	205	453	151	302	188	385	165	334	159	311	222	185	264
OTU00489	153	253	148	229	340	144	175	164	341	197	279	137	308	232	207	282
OTU00490	12	7	1	1	6	0	0	3	3	1	9	0	4	2	0	0
OTU00491	27	45	33	38	68	28	43	44	89	35	64	28	52	32	38	80
OTU00492	48	21	51	19	187	23	5	6	0	2	68	0	24	77	5	15
OTU00493	5	2	9	0	13	1	6	1	0	2	18	0	4	2	2	1
OTU00494	83	17	52	23	197	24	5	1	2	0	57	0	34	117	6	4
OTU00495	22	19	19	26	37	10	24	17	32	18	31	13	39	21	11	26
OTU00496	28	11	26	2	53	4	3	7	1	0	30	0	23	17	2	8
OTU00497	7	2	0	0	7	0	0	0	1	0	6	0	3	1	0	0
OTU00498	160	18	121	76	99	220	360	93	39	5	152	35	458	77	53	30
OTU00499	287	283	364	313	547	189	381	253	443	382	516	349	404	388	301	533
OTU00500	2	4	2	1	6	2	3	2	4	2	3	5	6	1	2	4
OTU00501	86	97	61	82	145	51	85	61	146	75	118	64	115	88	65	109
OTU00502	31	17	32	14	132	8	3	2	0	2	27	0	13	46	1	7
OTU00503	17	16	9	13	26	14	14	24	24	15	21	6	11	29	12	20
OTU00504	94	127	90	113	185	75	124	92	173	108	152	87	179	128	108	182
OTU00505	243	317	190	293	454	204	292	234	493	277	373	212	459	319	262	423
OTU00506	4	2	14	7	0	0	0	2	12	5	12	0	0	0	0	0
OTU00507	49	9	23	10	33	75	108	19	29	9	20	19	229	22	21	16
OTU00508	79	113	85	95	181	71	117	122	220	113	141	67	165	113	91	151
OTU00509	62	79	61	55	134	37	77	44	92	68	101	46	105	77	54	107
OTU00510	220	297	218	236	401	159	295	222	417	266	387	185	426	310	268	401
OTU00511	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00512	18	30	17	30	45	21	22	17	35	15	27	20	53	24	20	29
OTU00513	256	132	488	224	0	1	0	179	416	218	676	0	0	0	0	0
OTU00514	5	3	0	0	0	1	0	2	3	2	5	0	2	0	0	1
OTU00515	4	1	2	2	0	0	0	0	5	6	8	0	0	0	0	0
OTU00516	13	3	21	8	10	3	6	6	20	7	27	2	1	2	3	3
OTU00517	25	5	1	3	0	0	0	0	1	1	7	0	0	1	0	0
OTU00518	84	20	16	16	2	2	0	6	43	6	48	0	3	2	0	0
OTU00519	10	3	5	4	11	8	4	2	11	5	7	1	7	6	4	7
OTU00520	3	3	3	2	0	2	2	0	4	1	1	3	4	2	2	2
OTU00521	46	25	38	4	85	4	11	15	0	4	68	2	58	37	2	12
OTU00522	55	25	24	15	7	18	42	14	36	3	35	6	35	8	3	3
OTU00523	2	0	1	0	1	0	1	0	1	0	0	1	1	3	0	1
OTU00524	11	1	6	3	23	2	1	0	0	0	9	0	5	104	0	0
OTU00525	86	25	133	70	0	0	0	29	90	33	138	0	0	0	0	0
OTU00526	24	19	25	19	30	14	22	10	25	12	25	12	19	23	10	19
OTU00527	4	1	1	0	1	0	0	0	0	0	1	0	5	1	0	0
OTU00528	12	3	6	2	13	3	0	0	2	3	12	0	3	13	1	0
OTU00529	28	32	33	53	51	33	44	33	50	40	60	35	45	43	27	57
OTU00530	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00531	27	16	32	29	15	10	13	14	34	18	49	15	20	32	10	20
OTU00532	17	28	17	22	37	12	35	15	46	22	42	9	31	21	23	36
OTU00533	51	17	12	1	13	1	0	4	0	2	36	0	5	6	0	0
OTU00534	17	3	12	0	13	3	9	5	7	1	14	0	16	4	2	0
OTU00535	42	59	41	62	83	34	39	38	78	49	78	46	90	67	43	67
OTU00536	6	2	2	2	2	1	3	0	6	2	4	3	2	3	3	4
OTU00537	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00538	35	3	27	1	87	2	5	3	1	0	30	0	11	20	4	2
OTU00539	28	40	22	28	36	9	27	22	38	23	27	15	24	21	20	30
OTU00540	2	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0
OTU00541	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU00542	20	5	30	22	0	0	0	12	28	10	35	0	0	0	0	0
OTU00543	53	53	21	57	107	28	57	42	97	52	74	29	81	66	43	82
OTU00544	42	61	49	52	88	38	46	57	89	58	62	45	61	52	48	69
OTU00545	23	25	16	36	38	10	29	19	44	20	23	13	23	24	20	29
OTU00546	11	0	7	8	0	0	0	2	10	4	12	0	0	0	0	0
OTU00547	10	10	6	3	8	4	9	5	14	9	13	2	12	11	7	7
OTU00548	218	41	99	1	211	39	153	40	35	5	99	7	168	97	22	5
OTU00549	15	9	15	13	0	0	0	7	12	5	17	0	1	0	0	0
OTU00550	87	17	41	12	151	13	17	1	10	2	34	4	41	59	4	1
OTU00551	2	1	2	3	5	0	3	3	3	1	1	3	3	5	3	2
OTU00552	5	7	7	11	7	4	7	6	10	13	7	2	9	5	7	5
OTU00553	8	3	0	0	0	0	0	0	2	0	6	0	0	0	0	0
OTU00554	30	10	29	8	144	3	3	3	0	3	28	0	8	62	4	4
OTU00555	97	121	78	82	158	59	100	109	147	77	127	67	164	105	95	148
OTU00556	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU00557	24	17	55	6	385	6	0	4	0	0	68	0	8	111	2	0
OTU00558	22	24	22	27	39	12	24	17	37	13	20	16	25	16	23	30
OTU00559	77	47	70	2	538	11	1	6	8	6	142	0	9	90	3	2
OTU00560	2	0	1	0	4	1	0	1	0	0	0	0	2	0	0	0
OTU00561	16	11	26	18	0	0	0	9	24	8	54	0	0	0	0	0
OTU00562	7	1	5	0	9	1	1	1	0	2	2	0	2	5	0	1
OTU00563	24	3	16	4	36	3	7	6	0	1	22	1	17	18	2	5
OTU00564	5	0	1	0	7	1	0	0	0	0	1	0	2	2	0	1
OTU00565	9	9	12	15	21	10	10	16	12	11	19	6	19	18	9	16
OTU00566	35	38	34	41	43	26	43	19	48	24	54	28	36	35	25	38
OTU00567	37	12	22	30	19	23	18	18	27	26	23	13	22	17	10	20
OTU00568	19	2	6	4	21	2	0	1	0	0	7	0	2	11	0	0
OTU00569	98	155	97	122	199	88	120	85	207	105	167	82	181	128	108	179
OTU00570	28	42	36	41	64	18	48	26	66	27	52	25	59	48	23	62
OTU00571	93	66	71	113	105	48	98	54	87	79	87	59	78	74	54	86
OTU00572	12	0	1	0	3	0	0	0	1	0	2	0	3	3	1	0
OTU00573	1	2	0	1	0	1	0	1	1	0	3	0	1	0	0	3
OTU00574	4	2	1	3	7	2	1	1	0	1	5	0	0	2	1	1
OTU00575	2	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0
OTU00576	10	13	8	9	17	5	20	11	25	7	17	10	16	21	9	21
OTU00577	4	1	6	4	3	5	7	2	7	6	7	0	6	4	1	3
OTU00578	30	1	7	2	0	0	0	1	4	1	17	0	0	0	0	0
OTU00579	28	41	37	23	59	30	35	32	65	36	51	27	46	34	29	49
OTU00580	36	11	41	23	2	2	2	23	40	18	68	2	4	0	2	1
OTU00581	7	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0
OTU00582	5	1	7	5	19	0	0	0	0	2	9	0	3	10	0	0
OTU00583	32	52	20	40	76	29	30	26	67	37	59	23	62	51	36	57
OTU00584	6	1	3	0	0	6	8	0	3	0	1	1	7	0	0	1
OTU00585	3	5	1	5	5	2	8	7	7	6	6	4	8	12	7	1
OTU00586	19	1	2	0	0	0	0	1	3	0	2	0	0	0	0	0
OTU00587	68	26	85	40	0	0	0	29	85	35	119	0	0	0	0	0
OTU00588	69	76	66	97	151	58	93	68	120	86	138	91	101	97	86	143
OTU00589	41	66	57	63	108	42	79	45	94	60	76	36	102	68	74	86
OTU00590	57	67	106	93	112	72	109	88	82	110	110	74	73	92	79	122
OTU00591	11	1	0	0	0	0	0	0	0	0	1	0	6	1	0	0
OTU00592	31	41	27	22	55	18	46	21	62	36	66	27	61	47	44	42
OTU00593	39	9	27	4	91	7	12	4	2	3	34	0	43	32	0	2
OTU00594	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00595	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU00596	39	19	65	38	0	0	0	28	84	40	76	0	0	0	0	0
OTU00597	1	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0
OTU00598	48	12	8	2	1	9	11	6	10	0	7	0	16	1	0	2
OTU00599	2	0	0	1	2	2	0	0	0	0	1	0	0	1	0	1
OTU00600	16	18	15	19	31	10	18	13	20	12	16	15	15	18	11	28
OTU00601	9	3	0	1	1	0	0	0	2	0	2	0	2	0	0	0
OTU00602	21	6	2	0	3	0	0	0	6	0	1	0	0	1	0	0
OTU00603	25	12	66	9	117	16	9	6	0	2	32	2	42	46	3	10
OTU00604	185	293	141	60	8	2	4	89	317	22	217	5	3	0	0	1
OTU00605	35	2	2	10	26	17	25	7	17	2	10	9	40	34	8	25
OTU00606	271	198	549	65	1181	157	147	87	0	4	529	0	433	386	31	180
OTU00607	62	34	127	50	0	0	0	42	111	48	150	0	1	0	0	0
OTU00608	61	95	60	71	124	56	86	81	145	77	112	41	120	100	76	112
OTU00609	41	34	26	33	56	21	38	28	55	37	49	22	47	34	31	47
OTU00610	21	21	39	29	57	35	50	22	44	38	51	27	24	34	29	53
OTU00611	13	3	6	0	10	1	8	0	1	0	5	0	5	17	0	2
OTU00612	5	1	0	2	1	0	0	0	2	1	3	0	0	0	0	0
OTU00613	4	2	10	4	2	0	1	7	7	2	8	0	0	2	0	1
OTU00614	10	9	19	7	45	0	4	4	10	3	18	0	5	16	1	0
OTU00615	37	8	7	6	21	24	61	7	14	2	21	15	118	9	10	8
OTU00616	210	50	31	42	2	0	2	14	116	7	69	0	4	1	3	1
OTU00617	232	308	213	226	495	185	320	224	464	265	430	198	390	334	244	400
OTU00618	69	147	342	20	467	89	115	84	1	1	228	0	376	172	28	88
OTU00619	55	21	38	6	152	17	4	5	5	2	47	0	22	64	3	9
OTU00620	11	3	13	4	12	3	2	1	0	1	4	0	2	6	2	0
OTU00621	2	0	0	3	1	0	2	1	1	0	3	3	1	0	0	0
OTU00622	41	45	29	51	74	30	44	30	68	43	52	26	43	40	43	57
OTU00623	34	1	24	4	52	5	0	1	0	0	14	0	6	41	0	6
OTU00624	28	41	27	35	40	15	26	16	52	16	42	14	54	37	18	44
OTU00625	3	4	2	4	6	4	3	1	3	1	6	1	3	2	3	2
OTU00626	10	1	2	3	3	0	18	3	3	1	0	0	16	1	4	0
OTU00627	193	97	48	114	130	43	376	275	203	32	512	53	317	123	69	21
OTU00628	5	6	5	4	15	1	8	3	4	5	8	4	10	6	2	7
OTU00629	41	11	45	10	153	12	7	7	1	1	50	0	29	69	2	4
OTU00630	80	57	55	56	45	24	40	27	78	46	81	40	52	62	31	103
OTU00631	55	21	20	10	6	2	5	11	30	9	30	0	2	0	0	0
OTU00632	71	33	5	3	1	0	2	6	30	0	36	0	3	2	1	0
OTU00633	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU00634	102	0	13	81	2	0	1	1	258	0	1	2	2	0	2	0
OTU00635	10	3	0	0	0	0	0	0	1	0	1	0	1	0	0	0
OTU00636	1	2	2	1	0	0	0	1	1	1	0	0	0	0	0	0
OTU00637	59	27	54	58	48	31	45	26	66	30	60	26	41	37	29	40
OTU00638	10	21	8	19	33	12	22	15	35	13	20	14	18	23	20	27
OTU00639	1	1	2	3	9	2	3	2	4	1	5	1	5	5	1	1
OTU00640	10	13	8	10	24	11	16	13	22	13	17	8	31	11	11	21
OTU00641	102	40	165	102	0	0	0	40	134	73	223	0	0	0	0	0
OTU00642	7	10	9	5	12	6	9	3	5	11	6	3	20	9	4	17
OTU00643	19	5	28	15	0	0	1	9	30	7	29	0	0	0	0	0
OTU00644	23	12	2	0	2	0	2	1	8	1	8	0	6	1	0	0
OTU00645	18	18	0	0	0	0	0	3	3	0	38	0	0	1	0	0
OTU00646	68	19	43	14	160	25	10	3	3	2	46	0	33	85	2	6
OTU00647	6	1	5	6	1	2	1	0	2	7	4	4	1	3	3	2
OTU00648	25	4	16	4	52	6	1	1	1	0	19	0	10	28	2	1
OTU00649	4	0	2	0	2	0	2	0	0	0	1	1	3	0	0	0
OTU00650	82	41	126	86	0	0	0	61	129	53	165	0	0	0	0	0
OTU00651	6	1	6	3	27	3	0	1	0	0	5	0	2	10	0	2
OTU00652	1	0	8	3	0	0	0	2	1	1	5	0	0	0	0	0
OTU00653	52	56	37	52	80	26	64	45	94	38	76	34	65	34	61	54
OTU00654	3	1	2	1	0	0	0	1	1	0	3	0	0	1	0	0
OTU00655	2	0	3	1	3	1	3	3	3	4	3	1	3	0	2	5
OTU00656	299	401	289	360	582	232	387	322	616	282	542	234	556	463	308	567
OTU00657	10	10	5	0	23	3	2	1	3	0	9	1	1	2	1	3
OTU00658	59	86	43	49	109	41	74	57	97	52	86	42	89	78	56	90
OTU00659	4	3	4	3	8	1	6	0	4	9	6	3	5	9	10	7
OTU00660	7	0	4	2	6	0	0	0	0	0	6	0	2	2	0	1
OTU00661	3	3	4	0	12	7	0	1	0	0	5	0	0	9	0	0
OTU00662	9	14	7	21	27	10	11	6	25	9	22	5	29	14	18	24
OTU00663	1	0	1	0	3	0	1	0	0	0	1	0	0	0	0	0
OTU00664	22	4	8	2	0	0	1	1	11	2	12	0	0	0	0	0
OTU00665	92	18	9	26	38	67	92	15	46	10	64	20	347	32	21	31
OTU00666	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU00667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00668	14	20	14	22	39	16	23	14	47	12	24	8	32	31	20	38
OTU00669	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00670	16	2	6	3	50	2	0	0	0	0	11	0	1	14	2	6
OTU00671	14	4	2	1	0	0	0	0	5	0	5	0	0	0	0	0
OTU00672	6	8	8	8	9	5	9	4	8	5	16	9	8	11	10	18
OTU00673	5	9	7	10	22	6	12	7	15	7	8	1	10	10	10	12
OTU00674	20	10	3	0	9	4	1	0	3	0	13	0	3	18	1	0
OTU00675	12	18	2	16	13	8	17	15	26	10	13	9	18	13	14	19
OTU00676	26	5	12	2	28	2	7	3	1	0	10	1	14	15	0	0
OTU00677	2	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0
OTU00678	33	25	18	22	22	12	22	34	26	17	51	17	34	40	13	43
OTU00679	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU00680	13	5	12	4	43	2	2	1	1	1	26	0	11	8	1	4
OTU00681	2	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0
OTU00682	34	12	45	19	97	16	7	2	2	5	54	0	20	38	0	7
OTU00683	17	9	40	23	8	7	6	11	25	9	35	6	7	12	3	12
OTU00684	58	42	144	85	15	5	10	44	128	63	137	5	6	14	6	11
OTU00685	5	2	2	6	0	0	0	7	6	3	9	0	0	0	0	0
OTU00686	7	5	3	1	0	2	3	4	3	2	3	5	6	4	5	4
OTU00687	3	5	9	1	100	0	0	0	0	3	34	0	1	36	0	0
OTU00688	24	76	6	0	3	0	0	24	0	0	65	0	3	0	0	0
OTU00689	15	8	14	3	45	9	0	1	1	0	13	0	3	26	0	4
OTU00690	33	35	30	39	67	38	48	26	58	25	57	18	59	42	28	65
OTU00691	2	0	3	1	1	0	0	0	0	0	4	0	3	1	1	0
OTU00692	39	10	24	8	88	4	3	0	0	1	25	0	14	40	1	2
OTU00693	8	10	8	8	10	8	12	6	21	9	17	9	13	10	8	13
OTU00694	56	11	28	8	70	11	7	11	12	8	23	0	15	14	1	12
OTU00695	13	7	11	10	12	4	4	10	16	7	24	0	2	0	1	3
OTU00696	19	12	49	28	0	0	0	31	47	24	48	0	0	0	0	0
OTU00697	5	1	2	3	3	0	3	4	3	0	6	3	4	8	0	3
OTU00698	17	0	6	0	3	0	0	0	1	0	4	0	0	1	0	0
OTU00699	15	3	16	6	0	0	0	4	20	12	14	0	0	0	0	0
OTU00700	13	2	3	1	0	0	0	0	8	2	5	0	1	0	0	0
OTU00701	18	7	19	12	0	0	0	5	20	7	26	0	0	0	0	0
OTU00702	5	3	4	5	7	1	5	4	8	9	4	3	12	7	6	7
OTU00703	16	9	34	13	0	0	0	13	25	15	37	0	0	0	0	0
OTU00704	15	13	38	18	2	1	1	8	35	16	41	1	0	1	0	2
OTU00705	223	180	175	208	234	197	220	158	232	184	312	157	248	200	137	235
OTU00706	12	4	7	1	48	2	4	1	0	0	8	0	3	12	1	0
OTU00707	3	0	3	2	0	0	0	1	2	1	7	0	0	0	0	0
OTU00708	19	3	0	2	0	0	0	2	2	0	6	0	0	0	0	0
OTU00709	3	0	2	0	8	0	0	0	0	0	0	0	0	6	0	1
OTU00710	27	11	20	3	71	10	0	0	1	1	22	0	8	33	0	3
OTU00711	3	0	0	0	2	2	1	0	0	0	0	0	1	1	0	0
OTU00712	17	19	13	14	41	13	23	14	33	19	34	13	34	26	19	30
OTU00713	23	2	17	0	18	1	4	3	0	1	6	0	33	10	0	0
